,,,,,
disease,miRNA,beta,standard error,z-value,p-value
DLB,MIMAT0019209,1.25,0.33,3.81,1.38E-04
DLB,MIMAT0019211,0.90,0.26,3.43,6.13E-04
DLB,MIMAT0019789,1.09,0.28,3.84,1.21E-04
DLB,MIMAT0019792,2.17,0.45,4.85,1.24E-06
DLB,MIMAT0019826,1.89,0.42,4.44,8.85E-06
DLB,MIMAT0019837,0.85,0.22,3.90,9.51E-05
DLB,MIMAT0019839,1.27,0.37,3.47,5.17E-04
DLB,MIMAT0019849,2.90,0.60,4.83,1.33E-06
DLB,MIMAT0019850,1.83,0.51,3.58,3.44E-04
DLB,MIMAT0019854,1.75,0.49,3.57,3.51E-04
DLB,MIMAT0019883,0.82,0.23,3.53,4.17E-04
DLB,MIMAT0019893,2.01,0.45,4.42,9.90E-06
DLB,MIMAT0019940,1.11,0.32,3.41,6.38E-04
DLB,MIMAT0019978,1.08,0.32,3.41,6.51E-04
DLB,MIMAT0021129,1.69,0.44,3.81,1.36E-04
DLB,MIMAT0022297,0.76,0.21,3.55,3.90E-04
DLB,MIMAT0022491,0.69,0.16,4.18,2.97E-05
DLB,MIMAT0022698,0.81,0.23,3.57,3.55E-04
DLB,MIMAT0022726,2.07,0.48,4.28,1.87E-05
DLB,MIMAT0022731,1.77,0.35,5.11,3.25E-07
DLB,MIMAT0022736,0.90,0.25,3.55,3.85E-04
DLB,MIMAT0023713,2.01,0.47,4.25,2.10E-05
DLB,MIMAT0025845,0.79,0.19,4.09,4.40E-05
DLB,MIMAT0025848,1.15,0.30,3.78,1.55E-04
DLB,MIMAT0026474,0.56,0.16,3.43,6.06E-04
DLB,MIMAT0027026,1.38,0.37,3.70,2.20E-04
DLB,MIMAT0027027,1.23,0.33,3.67,2.43E-04
DLB,MIMAT0027354,1.44,0.38,3.81,1.38E-04
DLB,MIMAT0027384,1.14,0.31,3.70,2.12E-04
DLB,MIMAT0027389,0.97,0.26,3.76,1.67E-04
